Designator,Mid X,Mid Y,Rotation,Layer
C1,123.8625,-157.0,0.0,top
C2,109.065,-105.5,180.0,top
C3,109.065,-101.5,180.0,top
C4,133.225,-94.5,180.0,top
C5,137.425,-90.175,90.0,top
C6,134.925,-89.6625,90.0,top
C7,178.0,-89.5,0.0,top
C8,177.6625,-91.5,0.0,top
D1,120.3525,-108.5,180.0,top
D2,165.2125,-99.5,180.0,top
J1,96.25,-90.42,180.0,top
J2,174.5,-97.0,0.0,top
J3,125.77,-113.0,90.0,top
J4,121.11,-184.605,0.0,top
R1,120.0,-177.9025,90.0,top
R2,123.07,-177.8325,90.0,top
R3,116.4675,-108.5,0.0,top
R4,161.925,-99.5,0.0,top
R5,174.0,-91.0975,270.0,top
R6,171.5,-91.0,270.0,top
R7,137.0,-93.9025,270.0,top
R8,138.5,-110.5,0.0,top
U1,149.525,-94.64,0.0,top
U2,122.55,-162.375,270.0,top
U3,118.105,-102.22,0.0,top
